Timestamp_s,RED,IR
19.7236,58441,58664
19.7544,58278,58443
19.7617,58174,58248
19.7938,58109,58093
19.8036,58079,58064
19.8383,58109,58087
19.8668,58140,58128
19.8804,58144,58155
19.9004,58211,58207
19.9235,58228,58245
19.9531,58220,58275
19.9698,58216,58268
19.9893,58175,58217
19.9989,58183,58182
20.0335,58180,58208
20.0613,58171,58147
20.0739,58204,58265
20.1099,58211,58251
20.1158,58217,58271
20.1516,58235,58353
20.1679,58346,58414
20.1932,58331,58430
20.2059,58329,58428
20.2325,58361,58469
20.2617,58398,58525
20.2688,58382,58518
20.3014,58389,58564
20.3219,58430,58588
20.3388,58406,58647
20.3597,58425,58639
20.3848,58421,58678
20.4095,58426,58708
20.4294,58488,58773
20.4499,58499,58784
20.4696,58484,58801
20.4921,58507,58801
20.5193,58406,58674
20.5454,58248,58420
20.5534,58104,58181
20.5826,57982,58000
20.6102,57932,57879
20.6239,57952,57861
20.6515,57971,57928
20.6757,58003,57956
20.6931,58014,57986
20.7128,58037,58014
20.7418,58060,58047
20.7544,58078,58054
20.7834,58065,58033
20.7964,58036,58041
20.8383,58020,58024
20.8527,58034,58003
20.8752,58014,58037
20.8867,58042,58076
20.9125,58097,58110
20.9215,58126,58146
20.963,58151,58204
20.9787,58201,58232
20.9985,58194,58276
21.0231,58188,58292
21.0478,58214,58337
21.0679,58247,58379
21.0914,58235,58398
21.1024,58267,58442
21.1368,58293,58472
21.1583,58290,58492
21.1791,58322,58514
21.1989,58350,58556
21.221,58363,58563
21.2474,58365,58604
21.2552,58375,58635
21.2878,58407,58681
21.2969,58454,58740
21.3365,58440,58806
21.3587,58405,58746
21.3725,58302,58604
21.3943,58143,58321
21.428,58009,58105
21.442,57905,57915
21.4657,57872,57860
21.4836,57879,57850
21.5063,57897,57902
21.5253,57933,57959
21.5572,57939,58012
21.5673,57992,58040
21.5948,57979,58060
21.6225,58009,58066
21.6374,58002,58038
21.6572,57976,58031
21.679,57980,58050
21.7199,57948,58017
21.7269,58033,58046
21.7533,58044,58056
21.7712,58056,58137
21.7902,58095,58184
21.8251,58058,58189
21.8386,58159,58291
21.863,58161,58316
21.8817,58126,58323
21.9012,58157,58335
21.929,58163,58380
21.9499,58191,58421
21.9706,58203,58410
21.9905,58238,58470
22.0123,58281,58486
22.0386,58238,58510
22.0501,58239,58584
22.0808,58299,58558
22.088,58325,58605
22.1287,58328,58692
22.1501,58341,58688
22.171,58381,58714
22.1929,58380,58737
22.2167,58263,58604
22.2337,58131,58384
22.2565,57968,58192
22.2763,57879,58020
22.3062,57849,57926
22.3169,57852,57897
22.3517,57870,57940
22.3588,57901,57979
22.3926,57897,58017
22.3976,57954,58082
22.4357,57977,58120
22.4558,57990,58149
22.4809,57980,58138
22.4908,57948,58105
22.5258,57940,58083
22.5425,57941,58061
22.572,57941,58061
22.5814,57973,58075
22.6068,58004,58099
22.632,58032,58149
22.6594,58048,58195
22.6722,58071,58274
22.6924,58115,58282
22.7206,58109,58343
22.7407,58140,58360
22.7624,58160,58396
22.7821,58164,58406
22.8212,58167,58406
22.8242,58191,58448
22.8508,58194,58446
22.8588,58215,58485
22.8932,58224,58548
22.9211,58276,58554
22.9445,58277,58610
22.9562,58281,58644
22.9808,58295,58645
23.0068,58241,58568
23.0321,58107,58386
23.053,57952,58159
23.0678,57864,57941
23.0959,57773,57827
23.1148,57795,57736
23.1372,57829,57861
23.1571,57840,57899
23.1921,57873,57954
23.1991,57899,57998
23.2265,57909,58043
23.2337,57931,58024
23.2669,57938,58040
23.2756,57929,57998
23.3141,57923,57975
23.3316,57895,57971
23.3514,57894,57937
23.3793,57935,57991
23.4002,58001,58045
23.4232,57981,58092
23.4427,58033,58147
23.4708,58041,58153
23.4926,58052,58179
23.5122,58099,58235
23.5309,58097,58256
23.564,58073,58287
23.5741,58137,58335
23.5951,58186,58337
23.6154,58156,58353
23.6373,58136,58375
23.6665,58202,58461
23.6901,58197,58473
23.7078,58216,58437
23.7275,58241,58526
23.7509,58271,58559
23.7759,58276,58579
23.789,58280,58625
23.8225,58115,58350
23.831,57958,58049
23.8591,57812,57842
23.8925,57753,57692
23.8935,57714,57621
23.9311,57717,57656
23.9422,57759,57692
23.9771,57766,57745
23.9928,57796,57777
24.0179,57823,57781
24.0406,57857,57846
24.0533,57880,57850
24.0892,57887,57843
24.111,57877,57834
24.1234,57871,57827
24.1449,57884,57838
24.1784,57890,57865
24.1917,57910,57895
24.2196,57945,57922
24.2374,57963,57977
24.2558,58032,58050
24.2813,58076,58090
24.3054,58075,58143
24.3247,58082,58169
24.3445,58112,58213
24.3729,58121,58236
24.3866,58137,58273
24.414,58159,58296
24.4358,58179,58329
24.4578,58202,58355
24.4801,58216,58381
24.5053,58256,58473
24.5261,58284,58472
24.5512,58322,58527
24.5601,58318,58569
24.5868,58337,58613
24.6106,58358,58659
24.6302,58390,58698
24.6575,58391,58727
24.6784,58310,58642
24.6917,58178,58421
24.7279,57903,58009
24.74,57867,57906
24.7656,57880,57881
24.7848,57892,57923
24.8041,57924,57970
24.8315,57921,58007
24.8593,57959,58041
24.8736,57997,58074
24.8931,58019,58127
24.9312,58017,58149
24.9351,58023,58130
24.9668,58039,58131
24.9834,58028,58126
25.0043,58041,58138
25.0261,58051,58159
25.0538,58079,58179
25.0736,58083,58218
25.0875,58112,58262
25.1295,58133,58313
25.1378,58169,58334
25.1582,58201,58407
25.1828,58255,58502
25.1999,58237,58509
25.2274,58278,58521
25.2494,58309,58539
25.2614,58315,58581
25.2905,58343,58631
25.3179,58363,58649
25.3385,58360,58681
25.3582,58381,58696
25.3793,58401,58759
25.4143,58404,58842
25.4143,58465,58860
25.4469,58486,58880
25.4647,58499,58923
25.4976,58560,59000
25.5047,58563,59001
25.5333,58573,59049
25.5541,58541,59037
25.574,58489,58940
25.6066,58357,58732
25.6156,58149,58395
25.6457,58114,58354
25.6578,58092,58344
25.6922,58125,58368
25.7081,58149,58401
25.7345,58194,58409
25.7475,58228,58451
25.7893,58229,58520
25.7966,58253,58569
25.824,58243,58565
25.8399,58250,58551
25.8593,58231,58520
25.8872,58251,58514
25.907,58243,58512
25.9287,58248,58529
25.9486,58275,58563
25.9732,58297,58622
25.998,58332,58633
26.0226,58369,58671
26.0323,58402,58714
26.0611,58415,58734
26.0828,58399,58821
26.1024,58432,58846
26.13,58459,58881
26.1521,58474,58901
26.1727,58496,58919
26.194,58510,58964
26.2059,58540,58984
26.2397,58564,59018
26.2595,58573,59050
26.2795,58601,59075
26.3038,58602,59121
26.3314,58637,59199
26.3488,58660,59217
26.3663,58614,59160
26.3883,58521,59024
26.4148,58395,58845
26.4426,58281,58656
26.4598,58238,58566
26.4803,58219,58501
26.501,58229,58509
26.522,58243,58526
26.5564,58280,58579
26.5702,58296,58620
26.5886,58333,58650
26.6093,58340,58672
26.629,58347,58675
26.6675,58315,58673
26.6818,58312,58649
26.7077,58317,58610
26.7198,58317,58611
26.7412,58331,58617
26.7781,58378,58663
26.7935,58393,58706
26.8189,58435,58746
26.8317,58459,58783
26.8537,58499,58823
26.8802,58471,58884
26.8984,58529,58881
26.9216,58533,58918
26.9417,58550,58980
26.9625,58577,58960
26.9915,58610,59013
27.0132,58629,59082
27.0268,58645,59116
27.0468,58649,59106
27.0805,58652,59176
27.0946,58691,59202
27.1222,58710,59253
27.136,58748,59285
27.1578,58730,59300
27.1855,58742,59349
27.2059,58777,59334
27.2274,58565,59114
27.2474,58496,58883
27.275,58358,58723
27.2892,58338,58619
27.3106,58279,58560
27.3308,58267,58563
27.3706,58345,58596
27.3806,58313,58615
27.4081,58352,58658
27.4212,58324,58621
27.4426,58432,58720
27.4706,58400,58691
27.4981,58423,58734
27.512,58433,58639
27.5318,58429,58676
27.565,58423,58661
27.5739,58430,58675
27.6046,58475,58684
27.6246,58461,58742
27.6449,58516,58807
27.672,58543,58877
27.6939,58580,58928
27.7133,58630,58946
27.7273,58634,58981
27.7632,58671,59023
27.7819,58681,59059
27.8039,58683,59077
27.8165,58699,59083
27.8383,58710,59121
27.8661,58737,59156
27.8872,58743,59177
27.9078,58757,59209
27.9277,58786,59232
27.9637,58801,59262
27.9697,58833,59295
28.0013,58844,59321
28.0201,58858,59353
28.0399,58841,59322
28.0682,58741,59194
28.0742,58595,58976
